name,version,license_expression,license_file_metadata,license_files_found,authors,repository,source
nom,7.1.3,MIT,,LICENSE,contact@geoffroycouprie.com,https://github.com/Geal/nom,registry+https://github.com/rust-lang/crates.io-index
num-complex,0.4.6,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-num/num-complex,registry+https://github.com/rust-lang/crates.io-index
num-conv,0.2.2,MIT OR Apache-2.0,,LICENSE-Apache;LICENSE-MIT,Jacob Pratt <jacob@jhpratt.dev>,https://github.com/jhpratt/num-conv,registry+https://github.com/rust-lang/crates.io-index
num-integer,0.1.47,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-num/num-integer,registry+https://github.com/rust-lang/crates.io-index
num-traits,0.2.19,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-num/num-traits,registry+https://github.com/rust-lang/crates.io-index
num_enum,0.7.6,BSD-3-Clause OR MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-BSD;LICENSE-MIT,Daniel Wagner-Hall <dawagner@gmail.com>; Daniel Henry-Mantilla <daniel.henry.mantilla@gmail.com>; Vincent Esche <regexident@gmail.com>,https://github.com/illicitonion/num_enum,registry+https://github.com/rust-lang/crates.io-index
num_enum_derive,0.7.6,BSD-3-Clause OR MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-BSD;LICENSE-MIT,Daniel Wagner-Hall <dawagner@gmail.com>; Daniel Henry-Mantilla <daniel.henry.mantilla@gmail.com>; Vincent Esche <regexident@gmail.com>,https://github.com/illicitonion/num_enum,registry+https://github.com/rust-lang/crates.io-index
objc2,0.6.4,MIT,,,Mads Marquart <mads@marquart.dk>,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-app-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-cloud-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-data,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-foundation,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-graphics,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-image,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-location,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-core-text,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-encode,4.1.0,MIT,,,Mads Marquart <mads@marquart.dk>,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-exception-helper,0.1.1,Zlib OR Apache-2.0 OR MIT,,,Mads Marquart <mads@marquart.dk>,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-foundation,0.3.2,MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-io-surface,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-quartz-core,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-ui-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-user-notifications,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
objc2-web-kit,0.3.2,Zlib OR Apache-2.0 OR MIT,,,,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
once_cell,1.21.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Aleksey Kladov <aleksey.kladov@gmail.com>,https://github.com/matklad/once_cell,registry+https://github.com/rust-lang/crates.io-index
onig,6.5.3,MIT,,LICENSE.md,Will Speak <will@willspeak.me>; Ivan Ivashchenko <defuz@me.com>,https://github.com/iwillspeak/rust-onig,registry+https://github.com/rust-lang/crates.io-index
onig_sys,69.9.3,MIT,,LICENSE.md,Will Speak <will@willspeak.me>; Ivan Ivashchenko <defuz@me.com>,https://github.com/rust-onig/rust-onig,registry+https://github.com/rust-lang/crates.io-index
open,5.4.4,MIT,,LICENSE.md,Sebastian Thiel <byronimo@gmail.com>,https://github.com/Byron/open-rs,registry+https://github.com/rust-lang/crates.io-index
openssl,0.10.81,Apache-2.0,,LICENSE;LICENSE-APACHE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-openssl/rust-openssl,registry+https://github.com/rust-lang/crates.io-index
openssl-macros,0.1.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,,registry+https://github.com/rust-lang/crates.io-index
openssl-probe,0.2.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>,https://github.com/rustls/openssl-probe,registry+https://github.com/rust-lang/crates.io-index
openssl-sys,0.9.117,MIT,,LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>; Steven Fackler <sfackler@gmail.com>,https://github.com/rust-openssl/rust-openssl,registry+https://github.com/rust-lang/crates.io-index
option-ext,0.2.0,MPL-2.0,,LICENSE.txt,Simon Ochsenreither <simon@ochsenreither.de>,https://github.com/soc/option-ext.git,registry+https://github.com/rust-lang/crates.io-index
ordered-stream,0.2.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Daniel De Graaf <code@danieldg.net>; Zeeshan Ali Khan <zeeshanak@gnome.org>,https://github.com/danieldg/ordered-stream,registry+https://github.com/rust-lang/crates.io-index
ort,2.0.0-rc.13,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,pyke.io <contact@pyke.io>; Nicolas Bigaouette <nbigaouette@gmail.com>,https://github.com/pykeio/ort,registry+https://github.com/rust-lang/crates.io-index
ort-sys,2.0.0-rc.13,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,pyke.io <contact@pyke.io>,https://github.com/pykeio/ort,registry+https://github.com/rust-lang/crates.io-index
pango,0.18.3,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
pango-sys,0.18.0,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
parking,2.2.1,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT;LICENSE-THIRD-PARTY,Stjepan Glavina <stjepang@gmail.com>; The Rust Project Developers,https://github.com/smol-rs/parking,registry+https://github.com/rust-lang/crates.io-index
parking_lot,0.12.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/Amanieu/parking_lot,registry+https://github.com/rust-lang/crates.io-index
parking_lot_core,0.9.12,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Amanieu d'Antras <amanieu@gmail.com>,https://github.com/Amanieu/parking_lot,registry+https://github.com/rust-lang/crates.io-index
paste,1.0.15,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/paste,registry+https://github.com/rust-lang/crates.io-index
pastey,0.2.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Aditya Kumar <git@adityais.dev>; David Tolnay <dtolnay@gmail.com>,https://github.com/as1100k/pastey,registry+https://github.com/rust-lang/crates.io-index
pem-rfc7468,1.0.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/formats,registry+https://github.com/rust-lang/crates.io-index
percent-encoding,2.3.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The rust-url developers,https://github.com/servo/rust-url/,registry+https://github.com/rust-lang/crates.io-index
phf,0.13.1,MIT,,LICENSE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-phf/rust-phf,registry+https://github.com/rust-lang/crates.io-index
phf_codegen,0.13.1,MIT,,LICENSE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-phf/rust-phf,registry+https://github.com/rust-lang/crates.io-index
phf_generator,0.13.1,MIT,,LICENSE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-phf/rust-phf,registry+https://github.com/rust-lang/crates.io-index
phf_macros,0.13.1,MIT,,LICENSE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-phf/rust-phf,registry+https://github.com/rust-lang/crates.io-index
phf_shared,0.13.1,MIT,,LICENSE,Steven Fackler <sfackler@gmail.com>,https://github.com/rust-phf/rust-phf,registry+https://github.com/rust-lang/crates.io-index
pin-project-lite,0.2.17,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/taiki-e/pin-project-lite,registry+https://github.com/rust-lang/crates.io-index
piper,0.2.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; John Nunley <dev@notgull.net>,https://github.com/smol-rs/piper,registry+https://github.com/rust-lang/crates.io-index
pkg-config,0.3.34,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>,https://github.com/rust-lang/pkg-config-rs,registry+https://github.com/rust-lang/crates.io-index
plist,1.10.1,MIT,,LICENCE,Ed Barnard <eabarnard@gmail.com>,https://github.com/ebarnard/rust-plist/,registry+https://github.com/rust-lang/crates.io-index
png,0.17.16,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The image-rs Developers,https://github.com/image-rs/image-png,registry+https://github.com/rust-lang/crates.io-index
png,0.18.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The image-rs Developers,https://github.com/image-rs/image-png,registry+https://github.com/rust-lang/crates.io-index
polling,3.11.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; John Nunley <dev@notgull.net>,https://github.com/smol-rs/polling,registry+https://github.com/rust-lang/crates.io-index
portable-atomic,1.15.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/taiki-e/portable-atomic,registry+https://github.com/rust-lang/crates.io-index
portable-atomic-util,0.2.8,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/taiki-e/portable-atomic-util,registry+https://github.com/rust-lang/crates.io-index
potential_utf,0.1.6,Unicode-3.0,,LICENSE,The ICU4X Project Developers,https://github.com/unicode-org/icu4x,registry+https://github.com/rust-lang/crates.io-index
powerfmt,0.2.0,MIT OR Apache-2.0,,LICENSE-Apache;LICENSE-MIT,Jacob Pratt <jacob@jhpratt.dev>,https://github.com/jhpratt/powerfmt,registry+https://github.com/rust-lang/crates.io-index
ppv-lite86,0.2.21,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The CryptoCorrosion Contributors,https://github.com/cryptocorrosion/cryptocorrosion,registry+https://github.com/rust-lang/crates.io-index
precomputed-hash,0.1.1,MIT,,LICENSE,Emilio Cobos Álvarez <emilio@crisal.io>,https://github.com/emilio/precomputed-hash,registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate,1.3.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Bastian Köcher <git@kchr.de>,https://github.com/bkchr/proc-macro-crate,registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate,2.0.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Bastian Köcher <git@kchr.de>,https://github.com/bkchr/proc-macro-crate,registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate,3.5.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Bastian Köcher <git@kchr.de>,https://github.com/bkchr/proc-macro-crate,registry+https://github.com/rust-lang/crates.io-index
proc-macro-error,1.0.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,CreepySkeleton <creepy-skeleton@yandex.ru>,https://gitlab.com/CreepySkeleton/proc-macro-error,registry+https://github.com/rust-lang/crates.io-index
proc-macro-error-attr,1.0.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,CreepySkeleton <creepy-skeleton@yandex.ru>,https://gitlab.com/CreepySkeleton/proc-macro-error,registry+https://github.com/rust-lang/crates.io-index
proc-macro2,1.0.107,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>; Alex Crichton <alex@alexcrichton.com>,https://github.com/dtolnay/proc-macro2,registry+https://github.com/rust-lang/crates.io-index
quick-xml,0.42.0,MIT,,LICENSE-MIT.md,,https://github.com/tafia/quick-xml,registry+https://github.com/rust-lang/crates.io-index
quote,1.0.47,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/quote,registry+https://github.com/rust-lang/crates.io-index
r-efi,5.3.0,MIT OR Apache-2.0 OR LGPL-2.1-or-later,,,,https://github.com/r-efi/r-efi,registry+https://github.com/rust-lang/crates.io-index
r-efi,6.0.0,MIT OR Apache-2.0 OR LGPL-2.1-or-later,,,,https://github.com/r-efi/r-efi,registry+https://github.com/rust-lang/crates.io-index
rand,0.9.5,MIT OR Apache-2.0,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers; The Rust Project Developers,https://github.com/rust-random/rand,registry+https://github.com/rust-lang/crates.io-index
rand_chacha,0.9.0,MIT OR Apache-2.0,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers; The Rust Project Developers; The CryptoCorrosion Contributors,https://github.com/rust-random/rand,registry+https://github.com/rust-lang/crates.io-index
rand_core,0.9.5,MIT OR Apache-2.0,,COPYRIGHT;LICENSE-APACHE;LICENSE-MIT,The Rand Project Developers; The Rust Project Developers,https://github.com/rust-random/rand,registry+https://github.com/rust-lang/crates.io-index
raw-window-handle,0.6.2,MIT OR Apache-2.0 OR Zlib,,LICENSE-APACHE.md;LICENSE-MIT.md;LICENSE-ZLIB.md,Osspial <osspial@gmail.com>,https://github.com/rust-windowing/raw-window-handle,registry+https://github.com/rust-lang/crates.io-index
rawpointer,0.2.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,bluss,https://github.com/bluss/rawpointer/,registry+https://github.com/rust-lang/crates.io-index
rayon,1.12.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rayon-rs/rayon,registry+https://github.com/rust-lang/crates.io-index
rayon-cond,0.4.0,Apache-2.0/MIT,,LICENSE-APACHE;LICENSE-MIT,Josh Stone <cuviper@gmail.com>,https://github.com/cuviper/rayon-cond,registry+https://github.com/rust-lang/crates.io-index
rayon-core,1.13.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rayon-rs/rayon,registry+https://github.com/rust-lang/crates.io-index
redox_syscall,0.5.18,MIT,,LICENSE,Jeremy Soller <jackpot51@gmail.com>,https://gitlab.redox-os.org/redox-os/syscall,registry+https://github.com/rust-lang/crates.io-index
redox_users,0.5.3,MIT,,LICENSE,Jose Narvaez <goyox86@gmail.com>; Wesley Hershberger <mggmugginsmc@gmail.com>,https://gitlab.redox-os.org/redox-os/users,registry+https://github.com/rust-lang/crates.io-index
ref-cast,1.0.27,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/ref-cast,registry+https://github.com/rust-lang/crates.io-index
ref-cast-impl,1.0.27,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/ref-cast,registry+https://github.com/rust-lang/crates.io-index
regex,1.13.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers; Andrew Gallant <jamslam@gmail.com>,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index
regex-automata,0.4.18,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers; Andrew Gallant <jamslam@gmail.com>,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index
regex-syntax,0.8.11,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers; Andrew Gallant <jamslam@gmail.com>,https://github.com/rust-lang/regex,registry+https://github.com/rust-lang/crates.io-index
reqwest,0.12.28,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sean McArthur <sean@seanmonstar.com>,https://github.com/seanmonstar/reqwest,registry+https://github.com/rust-lang/crates.io-index
reqwest,0.13.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sean McArthur <sean@seanmonstar.com>,https://github.com/seanmonstar/reqwest,registry+https://github.com/rust-lang/crates.io-index
ring,0.17.14,Apache-2.0 AND ISC,,LICENSE;LICENSE-BoringSSL;LICENSE-other-bits,,https://github.com/briansmith/ring,registry+https://github.com/rust-lang/crates.io-index
rusqlite,0.37.0,MIT,,LICENSE,The rusqlite developers,https://github.com/rusqlite/rusqlite,registry+https://github.com/rust-lang/crates.io-index
rustc-hash,2.1.3,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/rust-lang/rustc-hash,registry+https://github.com/rust-lang/crates.io-index
rustc_version,0.4.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/djc/rustc-version-rs,registry+https://github.com/rust-lang/crates.io-index
rustix,1.1.5,Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT,,COPYRIGHT;LICENSE-APACHE;LICENSE-Apache-2.0_WITH_LLVM-exception;LICENSE-MIT,Dan Gohman <dev@sunfishcode.online>; Jakub Konka <kubkon@jakubkonka.com>,https://github.com/bytecodealliance/rustix,registry+https://github.com/rust-lang/crates.io-index
rustls,0.23.45,Apache-2.0 OR ISC OR MIT,,LICENSE-APACHE;LICENSE-ISC;LICENSE-MIT,,https://github.com/rustls/rustls,registry+https://github.com/rust-lang/crates.io-index
rustls-pki-types,1.15.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rustls/pki-types,registry+https://github.com/rust-lang/crates.io-index
rustls-webpki,0.103.15,ISC,,LICENSE,,https://github.com/rustls/webpki,registry+https://github.com/rust-lang/crates.io-index
rustversion,1.0.23,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/rustversion,registry+https://github.com/rust-lang/crates.io-index
ryu,1.0.23,Apache-2.0 OR BSL-1.0,,LICENSE-APACHE;LICENSE-BOOST,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/ryu,registry+https://github.com/rust-lang/crates.io-index
safetensors,0.8.0,Apache-2.0,,LICENSE,,https://github.com/huggingface/safetensors,registry+https://github.com/rust-lang/crates.io-index
same-file,1.0.6,Unlicense/MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/same-file,registry+https://github.com/rust-lang/crates.io-index
schannel,0.1.29,MIT,,LICENSE.md,Steven Fackler <sfackler@gmail.com>; Steffen Butzer <steffen.butzer@outlook.com>,https://github.com/steffengy/schannel-rs,registry+https://github.com/rust-lang/crates.io-index
schemars,0.8.22,MIT,,LICENSE,Graham Esau <gesau@hotmail.co.uk>,https://github.com/GREsau/schemars,registry+https://github.com/rust-lang/crates.io-index
schemars,0.9.0,MIT,,LICENSE,Graham Esau <gesau@hotmail.co.uk>,https://github.com/GREsau/schemars,registry+https://github.com/rust-lang/crates.io-index
schemars,1.2.2,MIT,,LICENSE,Graham Esau <gesau@hotmail.co.uk>,https://github.com/GREsau/schemars,registry+https://github.com/rust-lang/crates.io-index
schemars_derive,0.8.22,MIT,,LICENSE,Graham Esau <gesau@hotmail.co.uk>,https://github.com/GREsau/schemars,registry+https://github.com/rust-lang/crates.io-index
scopeguard,1.2.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,bluss,https://github.com/bluss/scopeguard,registry+https://github.com/rust-lang/crates.io-index
security-framework,3.7.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>; Kornel <kornel@geekhood.net>,https://github.com/kornelski/rust-security-framework,registry+https://github.com/rust-lang/crates.io-index
security-framework-sys,2.17.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>; Kornel <kornel@geekhood.net>,https://github.com/kornelski/rust-security-framework,registry+https://github.com/rust-lang/crates.io-index
selectors,0.36.1,MPL-2.0,,,The Servo Project Developers,https://github.com/servo/stylo,registry+https://github.com/rust-lang/crates.io-index
semver,1.0.28,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/semver,registry+https://github.com/rust-lang/crates.io-index
serde,1.0.229,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Erick Tryzelaar <erick.tryzelaar@gmail.com>; David Tolnay <dtolnay@gmail.com>,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index
serde-untagged,0.1.9,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/serde-untagged,registry+https://github.com/rust-lang/crates.io-index
serde_core,1.0.229,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Erick Tryzelaar <erick.tryzelaar@gmail.com>; David Tolnay <dtolnay@gmail.com>,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index
serde_derive,1.0.229,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Erick Tryzelaar <erick.tryzelaar@gmail.com>; David Tolnay <dtolnay@gmail.com>,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index
serde_derive_internals,0.29.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Erick Tryzelaar <erick.tryzelaar@gmail.com>; David Tolnay <dtolnay@gmail.com>,https://github.com/serde-rs/serde,registry+https://github.com/rust-lang/crates.io-index
serde_json,1.0.151,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Erick Tryzelaar <erick.tryzelaar@gmail.com>; David Tolnay <dtolnay@gmail.com>,https://github.com/serde-rs/json,registry+https://github.com/rust-lang/crates.io-index
serde_repr,0.1.21,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/serde-repr,registry+https://github.com/rust-lang/crates.io-index
serde_spanned,0.6.9,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index
serde_spanned,1.1.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/toml-rs/toml,registry+https://github.com/rust-lang/crates.io-index
serde_urlencoded,0.7.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Anthony Ramine <n.oxyde@gmail.com>,https://github.com/nox/serde_urlencoded,registry+https://github.com/rust-lang/crates.io-index
serde_with,3.23.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Jonas Bushart; Marcin Kaźmierczak,https://github.com/jonasbb/serde_with/,registry+https://github.com/rust-lang/crates.io-index
serde_with_macros,3.23.0,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Jonas Bushart,https://github.com/jonasbb/serde_with/,registry+https://github.com/rust-lang/crates.io-index
serialize-to-javascript,0.1.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Chip Reed <chip@chip.sh>,https://github.com/chippers/serialize-to-javascript,registry+https://github.com/rust-lang/crates.io-index
serialize-to-javascript-impl,0.1.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Chip Reed <chip@chip.sh>,https://github.com/chippers/serialize-to-javascript,registry+https://github.com/rust-lang/crates.io-index
servo_arc,0.4.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/stylo,registry+https://github.com/rust-lang/crates.io-index
sha2,0.10.9,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/hashes,registry+https://github.com/rust-lang/crates.io-index
shlex,2.0.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,comex <comexk@gmail.com>; Fenhl <fenhl@fenhl.net>; Adrian Taylor <adetaylor@chromium.org>; Alex Touchet <alextouchet@outlook.com>; Daniel Parks <dp+git@oxidized.org>; Garrett Berg <googberg@gmail.com>,https://github.com/comex/rust-shlex,registry+https://github.com/rust-lang/crates.io-index
signal-hook-registry,1.4.8,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Michal 'vorner' Vaner <vorner@vorner.cz>; Masaki Hara <ackie.h.gmai@gmail.com>,https://github.com/vorner/signal-hook,registry+https://github.com/rust-lang/crates.io-index
simd-adler32,0.3.10,MIT,,LICENSE.md,Marvin Countryman <me@maar.vin>,https://github.com/mcountryman/simd-adler32,registry+https://github.com/rust-lang/crates.io-index
simdutf8,0.1.5,MIT OR Apache-2.0,,LICENSE-Apache;LICENSE-MIT,Hans Kratz <hans@appfour.com>,https://github.com/rusticstuff/simdutf8,registry+https://github.com/rust-lang/crates.io-index
siphasher,1.0.3,MIT/Apache-2.0,,COPYING,Frank Denis <github@pureftpd.org>,https://github.com/jedisct1/rust-siphash,registry+https://github.com/rust-lang/crates.io-index
slab,0.4.12,MIT,,LICENSE,Carl Lerche <me@carllerche.com>,https://github.com/tokio-rs/slab,registry+https://github.com/rust-lang/crates.io-index
smallvec,1.16.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Servo Project Developers,https://github.com/servo/rust-smallvec,registry+https://github.com/rust-lang/crates.io-index
socket2,0.6.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>; Thomas de Zeeuw <thomasdezeeuw@gmail.com>,https://github.com/rust-lang/socket2,registry+https://github.com/rust-lang/crates.io-index
socks,0.3.4,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Steven Fackler <sfackler@gmail.com>,https://github.com/sfackler/rust-socks,registry+https://github.com/rust-lang/crates.io-index
softbuffer,0.4.8,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-windowing/softbuffer,registry+https://github.com/rust-lang/crates.io-index
soup3,0.5.0,MIT,,LICENSE,,https://gitlab.gnome.org/World/Rust/soup3-rs,registry+https://github.com/rust-lang/crates.io-index
